"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"[carbohydrate]",0.485110558098105,0.219916842553089,0.0511297300490743,0.239051515798566,0.00479135350116627
"[fatty acid]",0.178910694278696,0.526033107228027,0.224598230418996,0.067503494612347,0.00295447346193387
"[protein]",0.14753009048011,0.572825731892617,0.255920542097072,0.0104801806517587,0.0132434548784423
"% fiber",0.660184080163024,0.124733040895336,0.0358136447479686,0.117021831580307,0.0622474026133662
"% water",0.86166310134767,0.000300963355490589,6.80398394592526e-06,0.020579473168735,0.117449658144159
