"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"[carbohydrate]",20.7898716413896,15.2317057225075,9.01013701845849,52.5808020255304,2.38748359211393
"[fatty acid]",7.66738696413567,36.4336873728047,39.5789461089694,14.8477949382012,1.47218461588905
"[protein]",6.32254151785296,39.6746009863344,45.0985981721322,2.30517803746646,6.59908128621397
"% fiber",28.2928129622413,8.63916083340732,6.31111969493833,25.7396475334376,31.0172589759755
"% water",36.9273869143805,0.0208450849460719,0.0011990055016003,4.52657746536433,58.5239915298076
